ad_name,Creative_Score,Spend,impressions,frequency,CTR_Decimal,Outbound_Clicks,CPA,ROAS_Purchase,CVR_Decimal,ThruPlay_Decimal,creative_link
V7 - Partnership - @Bellarychter - AUS - 01.10.25,22.22270612407097,119.45,10401,1.44018277,0.0116334968,101.0,19.908333333333335,4.08338217,0.0594059405940594,0.03028554946639746,https://www.facebook.com/?feed_demo_ad=120235479154040758&h=AQDNrWsF-3nc-IyoDac
EPV2 - @dekota_thompson - Tiarna Off The Shoulder Maxi Dress - Yellow - AUS - 16.09.25 – Copy,21.86935643881779,1142.81,100740,1.56781573,0.0143438555,784.0,28.570249999999998,4.92451064,0.05102040816326531,0.013778042485606512,https://www.facebook.com/?feed_demo_ad=120234162327840758&h=AQC60AOuLF8a7Tzxtmc
V3- Polka Dot Trend - Arrivals - AUS - 08.10.25 - Copy,20.834028992886182,154.14,9472,1.16894977,0.020059121599999997,112.0,77.07,1.32282341,0.017857142857142856,0.028188344594594593,https://www.facebook.com/?feed_demo_ad=120235410888040758&h=AQCxd9CKtVeHk61yWr4
DYNS1 - Freya Maxi Dress - Black - AUS - 21.08.25,20.79755728859176,213.3,46258,1.6485976,0.00183752,67.0,26.6625,4.40436006,0.11940298507462686,0.0007566258809287043,https://www.facebook.com/?feed_demo_ad=120233321624670758&h=AQBYGbdKCX-rnNSpmoU
EPV3 - @rosalieburns - Halen Off Shoulder Mini Dress - Black - AUS - 09.10.25 – Copy,20.464176248387332,188.8,11208,1.33890814,0.017309065,116.0,62.93333333333334,2.29237288,0.02586206896551724,0.029621698786581014,https://www.facebook.com/?feed_demo_ad=120235482283890758&h=AQDXkmor7955jjDkZL0
V1 - Celine Partnership - Polka Dots,20.143807344219763,258.62,26361,1.77826498,0.0115701225,230.0,23.51090909090909,6.59078958,0.04782608695652174,0.016880998444672054,https://www.facebook.com/?feed_demo_ad=120235479154030758&h=AQDSBFupTbROAf56zOg
EP3 - @sophiebatzloff - Baxter Pant - White Lace - AUS - 14.10.25 – Copy,15.299392367412961,1190.58,79761,1.74443934,0.0096413034,625.0,38.405806451612904,3.60580557,0.0496,0.0,https://www.facebook.com/?feed_demo_ad=120235697641940758&h=AQDJRw8pgjLhH9jzj3k
C1- Rochelle Partnership - Event Ready,15.258596897234309,1911.19,272467,2.21516085,0.0110288585,2031.0,27.69840579710145,5.36982718,0.033973412112259974,0.003908730231550977,https://www.facebook.com/?feed_demo_ad=120234274376440758&h=AQDGDo7ywoSRmL2j0UU
EP4 - @deepikangalie - Alani Maxi Dress - Chocolate - AUS - 14.10.25 – Copy,13.88554685649637,60.05,5221,1.31577621,0.0135989274,47.0,60.05,3.44579517,0.02127659574468085,0.0,https://www.facebook.com/?feed_demo_ad=120235697641930758&h=AQCteIMbXp_U0bA8t5w
EP1 - @sophiebatzloff  - Baxter Pant - White Lace - USA - 14.10.25 – Copy,13.5846855563554,328.99,9267,1.48295727,0.0169418366,97.0,328.99,0.9421259,0.010309278350515464,0.0,https://www.facebook.com/?feed_demo_ad=120235698307570758&h=AQANE0Gar7zta-HYtg4
C1- Rochelle Partnership - Event Ready - Copy,12.762314866707888,76.7,9801,1.47494357,0.0154065912,120.0,76.7,2.0071708,0.008333333333333333,0.002550760126517702,https://www.facebook.com/?feed_demo_ad=120235479879940758&h=AQAqeY5LkNqBdYXIboA
DYNCOL3 - Green - Bridesmaids - AUS - 05.03.24 – Copy,12.37671971679648,2483.11,293294,2.13905218,0.0094785437,1133.0,63.669487179487184,3.22562835,0.03442188879082083,0.0,https://www.facebook.com/?feed_demo_ad=120233901364650758&h=AQCc3B_bObVqYnzvZ6k
EP5 - @lillychugg - Robin Off Shoulder Top - Taupe - AUS - 14.10.25 – Copy,10.606649803013287,175.45,42769,1.38370701,0.0031798733000000003,120.0,29.241666666666664,5.25779424,0.05,0.0,https://www.facebook.com/?feed_demo_ad=120235697641960758&h=AQDdMGeyV_OKMY3sUIc
DYNCAR - Gigi Maxi - AUS - 19.08.25,10.402941544395594,2437.97,417758,4.63711844,0.0104893264,3960.0,39.9667213114754,3.88257034,0.015404040404040404,0.0,https://www.facebook.com/?feed_demo_ad=120233321624560758&h=AQDJaQT0ibmP2XzBMko
EP3 - Blue Orchid - AUS - 09.10.25 – Copy,7.012459448988523,84.04,11046,1.27699422,0.008509867800000001,77.0,84.04,1.61732508,0.012987012987012988,0.0,https://www.facebook.com/?feed_demo_ad=120235482283870758&h=AQBIKtyL1glgVBSpxSM
